"trust_promise","male","age","edu","unemployed","rural","political_know","cntry","country_year","year"
99,2,84,9,1,1,,"AR","AR-2006",2006
2,1,50,10,-11,1,4,"AR","AR-2006",2006
2,2,59,18,1,1,5,"AR","AR-2006",2006
1,1,65,12,-11,1,4,"AR","AR-2006",2006
1,2,50,13,1,1,3,"AR","AR-2006",2006
1,2,43,12,1,1,4,"AR","AR-2006",2006
2,2,34,11,1,1,3,"AR","AR-2006",2006
2,2,56,18,-11,1,4,"AR","AR-2006",2006
2,1,55,15,-11,1,5,"AR","AR-2006",2006
2,2,55,15,-11,1,3,"AR","AR-2006",2006
2,2,37,12,-11,1,2,"AR","AR-2006",2006
1,2,54,12,1,1,2,"AR","AR-2006",2006
2,2,36,12,-11,1,5,"AR","AR-2006",2006
2,2,28,16,1,1,3,"AR","AR-2006",2006
1,2,18,13,-11,1,3,"AR","AR-2006",2006
4,1,37,11,-11,1,2,"AR","AR-2006",2006
1,1,46,18,-11,1,5,"AR","AR-2006",2006
2,2,59,9,1,1,3,"AR","AR-2006",2006
2,1,38,12,-11,1,4,"AR","AR-2006",2006
3,1,29,10,-11,1,3,"AR","AR-2006",2006
1,2,60,18,-11,2,2,"AR","AR-2006",2006
2,2,32,15,-11,2,3,"AR","AR-2006",2006
1,1,37,18,-11,2,3,"AR","AR-2006",2006
2,2,33,15,-11,2,2,"AR","AR-2006",2006
2,1,51,18,-11,2,4,"AR","AR-2006",2006
2,2,23,13,-11,2,3,"AR","AR-2006",2006
1,1,63,15,-11,2,4,"AR","AR-2006",2006
1,2,63,18,-11,2,3,"AR","AR-2006",2006
2,1,39,14,-11,2,4,"AR","AR-2006",2006
2,1,41,18,-11,2,4,"AR","AR-2006",2006
1,2,29,18,-11,2,4,"AR","AR-2006",2006
3,2,53,15,-11,2,4,"AR","AR-2006",2006
1,1,47,15,-11,2,4,"AR","AR-2006",2006
4,2,34,12,1,2,5,"AR","AR-2006",2006
2,2,38,18,-11,2,2,"AR","AR-2006",2006
1,2,61,18,1,2,3,"AR","AR-2006",2006
2,1,68,14,-11,2,4,"AR","AR-2006",2006
2,2,39,15,-11,2,3,"AR","AR-2006",2006
